receipt_number,payment_amount,payment_date,payment_method,contract_number
1,607.22,2021-08-12,Credit Card,1
2,2494.32,2023-02-17,PayPal,2
3,439.65,2020-07-27,Cash,3
4,1916.44,2022-10-01,PayPal,4
5,1393.44,2020-12-12,Credit Card,5
6,1770.7,2020-03-25,Cash,6
7,1427.87,2020-12-17,PayPal,7
8,2385.91,2021-07-31,Credit Card,8
9,754.95,2021-03-05,Cash,9
10,2623.41,2023-05-14,Bank Transfer,10
11,714.5,2021-04-27,PayPal,11
12,800.06,2022-03-23,Credit Card,12
13,2087.02,2023-03-30,PayPal,13
14,1478.53,2022-06-15,PayPal,14
15,2591.71,2022-12-03,Bank Transfer,15
16,1089.29,2021-08-24,Credit Card,16
17,383.31,2023-09-17,Bank Transfer,17
18,1634.03,2020-02-14,Cash,18
19,876.27,2022-02-13,Cash,19
20,1102.82,2021-02-11,Bank Transfer,20
21,2040.92,2023-10-30,Cash,21
22,1413.84,2023-02-02,Cash,22
23,1210.0,2023-09-09,Cash,23
24,1693.46,2022-05-12,Bank Transfer,24
25,1673.68,2021-02-19,PayPal,25
26,2716.05,2022-01-09,PayPal,26
27,462.88,2020-10-14,PayPal,27
28,874.34,2020-02-18,Cash,28
29,2875.68,2021-09-13,Bank Transfer,29
30,1535.27,2023-06-06,Credit Card,30
31,2458.74,2022-02-18,Bank Transfer,31
32,2323.33,2020-10-11,Bank Transfer,32
33,1989.52,2021-10-10,PayPal,33
34,775.44,2020-01-06,Cash,34
35,383.81,2022-06-27,Credit Card,35
36,1953.6,2021-05-10,Credit Card,36
37,1470.37,2020-02-02,Credit Card,37
38,377.74,2020-12-19,Cash,38
39,1305.91,2021-05-26,Bank Transfer,39
40,143.77,2023-07-25,PayPal,40
41,1157.29,2023-10-20,Cash,41
42,1976.25,2020-09-29,Credit Card,42
43,1316.58,2020-08-20,Credit Card,43
44,1650.89,2023-11-13,Credit Card,44
45,1349.05,2023-02-16,Bank Transfer,45
46,476.9,2021-05-25,Credit Card,46
47,1710.35,2022-08-01,Cash,47
48,1034.48,2021-06-25,PayPal,48
49,826.16,2020-06-02,Cash,49
50,541.34,2023-07-23,Cash,50
51,2649.51,2021-08-25,Cash,51
52,1989.6,2023-05-20,Credit Card,52
53,1404.92,2022-01-08,Bank Transfer,53
54,445.68,2023-08-03,PayPal,54
55,2259.47,2021-09-22,PayPal,55
56,1385.5,2021-02-14,PayPal,56
57,2457.06,2023-09-16,Bank Transfer,57
58,2957.2,2020-09-08,PayPal,58
59,1919.4,2022-10-14,Bank Transfer,59
60,2661.84,2021-10-19,Bank Transfer,60
61,218.89,2022-05-13,PayPal,61
62,199.94,2021-03-01,Credit Card,62
63,994.69,2021-06-16,Bank Transfer,63
64,2602.42,2022-07-20,PayPal,64
65,2225.44,2020-11-25,PayPal,65
66,562.9,2022-09-26,PayPal,66
67,1797.67,2023-07-14,Bank Transfer,67
68,2045.16,2023-09-15,Bank Transfer,68
69,2949.72,2022-10-17,Credit Card,69
70,1421.94,2023-05-10,Bank Transfer,70
71,1646.59,2021-12-01,Credit Card,71
72,2419.58,2021-07-09,Credit Card,72
73,2256.14,2023-11-24,Cash,73
74,135.08,2020-08-27,Bank Transfer,74
75,2128.3,2022-10-06,Cash,75
76,1760.53,2023-04-22,Cash,76
77,542.85,2020-12-18,Bank Transfer,77
78,1631.62,2020-12-09,PayPal,78
79,1001.97,2020-10-27,Credit Card,79
80,2198.27,2021-04-08,PayPal,80
81,1924.46,2021-12-20,Bank Transfer,81
82,852.28,2023-05-08,PayPal,82
83,1812.73,2023-10-30,PayPal,83
84,1691.0,2023-12-20,PayPal,84
85,398.26,2022-02-23,PayPal,85
86,2858.79,2020-11-06,Credit Card,86
87,516.84,2021-03-21,PayPal,87
88,1278.54,2020-04-30,PayPal,88
89,1541.72,2020-06-07,Bank Transfer,89
90,2601.82,2023-07-06,Bank Transfer,90
91,2644.01,2023-10-04,Cash,91
92,2303.16,2023-12-02,Cash,92
93,372.12,2020-07-03,PayPal,93
94,1914.98,2022-06-02,Cash,94
95,2529.91,2021-10-24,PayPal,95
96,247.11,2023-03-09,PayPal,96
97,2584.11,2021-03-12,Credit Card,97
98,2269.55,2023-04-06,Bank Transfer,98
99,2938.23,2020-12-09,Credit Card,99
100,1351.4,2022-04-15,Credit Card,100
101,254.16,2020-02-01,PayPal,101
102,1803.73,2021-12-23,Cash,102
103,492.44,2021-11-12,Bank Transfer,103
104,362.95,2022-03-07,PayPal,104
105,1036.05,2022-08-11,Cash,105
106,120.97,2020-07-29,Credit Card,106
107,2255.57,2023-06-27,Credit Card,107
108,1464.34,2023-04-20,PayPal,108
109,753.92,2023-08-06,Cash,109
110,2233.09,2023-05-15,PayPal,110
111,2695.03,2021-10-26,PayPal,111
112,2125.82,2023-04-06,Credit Card,112
113,1970.45,2020-07-30,PayPal,113
114,1966.97,2023-11-02,Credit Card,114
115,1140.31,2023-08-21,PayPal,115
116,180.52,2022-07-07,Credit Card,116
117,1406.69,2021-01-24,PayPal,117
118,908.94,2022-06-14,PayPal,118
119,196.71,2020-10-21,Bank Transfer,119
120,473.46,2020-09-23,Credit Card,120
121,1011.16,2023-12-24,Credit Card,121
122,1275.85,2022-04-05,Cash,122
123,1263.18,2022-02-17,PayPal,123
124,178.91,2023-03-24,Cash,124
125,1931.16,2023-11-08,Bank Transfer,125
126,1397.97,2023-10-09,Bank Transfer,126
127,1731.15,2021-09-19,PayPal,127
128,1119.78,2020-02-28,PayPal,128
129,1650.85,2021-04-03,Bank Transfer,129
130,1908.82,2022-11-20,Cash,130
131,572.82,2023-11-10,Cash,131
132,2780.31,2020-05-19,Bank Transfer,132
133,2303.41,2022-11-10,Bank Transfer,133
134,2926.49,2020-11-26,Bank Transfer,134
135,2932.87,2021-10-12,Cash,135
136,564.99,2022-05-31,Bank Transfer,136
137,2950.44,2022-01-07,Bank Transfer,137
138,2641.32,2020-12-11,Bank Transfer,138
139,1898.77,2020-11-06,Credit Card,139
140,2577.41,2023-04-09,Bank Transfer,140
141,1480.47,2023-10-08,Bank Transfer,141
142,180.27,2023-07-14,Cash,142
143,2211.42,2023-12-17,PayPal,143
144,2574.9,2023-08-17,Bank Transfer,144
145,863.52,2020-05-22,PayPal,145
146,2473.3,2023-07-28,Cash,146
147,800.21,2022-05-30,Cash,147
148,1902.3,2020-02-12,Bank Transfer,148
149,2253.44,2020-08-26,Credit Card,149
150,1580.2,2021-06-02,Bank Transfer,150
151,2543.85,2021-07-02,Cash,151
152,711.28,2020-07-20,Cash,152
153,1173.59,2023-10-15,Cash,153
154,1222.41,2021-12-01,Bank Transfer,154
155,2553.4,2021-07-26,Cash,155
156,2144.7,2020-09-16,Cash,156
157,196.21,2022-03-11,PayPal,157
158,2566.23,2023-07-23,Credit Card,158
159,2656.26,2023-11-03,PayPal,159
160,1147.81,2022-07-18,Bank Transfer,160
161,2535.3,2020-02-12,PayPal,161
162,2898.86,2021-03-02,Bank Transfer,162
163,1270.09,2020-10-30,PayPal,163
164,743.36,2022-12-01,Bank Transfer,164
165,1348.48,2023-05-08,Bank Transfer,165
166,347.18,2021-04-20,Cash,166
167,574.96,2020-11-05,PayPal,167
168,1167.78,2023-12-18,PayPal,168
169,1033.4,2023-04-27,Bank Transfer,169
170,2927.76,2021-07-12,Bank Transfer,170
171,2001.56,2020-04-26,Bank Transfer,171
172,1495.48,2021-03-27,PayPal,172
173,395.19,2020-07-05,PayPal,173
174,1156.71,2022-01-04,Credit Card,174
175,2381.83,2020-01-14,Credit Card,175
176,150.66,2020-11-08,Credit Card,176
177,2692.34,2022-08-03,Bank Transfer,177
178,202.33,2023-03-07,Credit Card,178
179,2991.99,2020-05-25,Credit Card,179
180,2329.16,2020-06-22,PayPal,180
181,427.95,2021-10-13,Credit Card,181
182,2604.48,2023-01-05,Credit Card,182
183,446.69,2022-02-26,Bank Transfer,183
184,658.68,2023-12-15,Bank Transfer,184
185,1292.97,2023-04-28,Credit Card,185
186,1925.69,2021-02-05,Cash,186
187,183.38,2020-10-10,PayPal,187
188,490.29,2021-01-27,Cash,188
189,475.92,2020-03-06,PayPal,189
190,346.13,2022-02-28,Credit Card,190
191,134.85,2022-02-10,Cash,191
192,1512.41,2022-11-11,Cash,192
193,138.83,2021-04-04,Bank Transfer,193
194,397.43,2021-04-17,Bank Transfer,194
195,738.47,2022-04-03,PayPal,195
196,611.67,2023-07-31,Cash,196
197,1764.15,2022-07-10,Credit Card,197
198,125.81,2023-04-06,Bank Transfer,198
199,1063.6,2021-03-16,Bank Transfer,199
200,415.86,2023-07-09,PayPal,200
201,2658.46,2022-03-23,Cash,201
202,1611.95,2023-02-06,PayPal,202
203,1038.96,2023-07-11,Credit Card,203
204,2882.43,2020-06-28,Cash,204
205,2771.39,2023-07-07,Cash,205
206,2389.6,2022-12-10,Credit Card,206
207,246.92,2022-02-15,Bank Transfer,207
208,2887.6,2021-10-09,Cash,208
209,179.95,2022-03-22,Bank Transfer,209
210,581.06,2023-11-21,Bank Transfer,210
211,1678.51,2020-04-10,Credit Card,211
212,1149.31,2023-05-09,Cash,212
213,1637.8,2020-02-02,PayPal,213
214,519.21,2023-02-16,PayPal,214
215,320.69,2020-01-15,Bank Transfer,215
216,1924.53,2021-02-02,Credit Card,216
217,2799.54,2022-05-07,PayPal,217
218,359.96,2022-11-27,Bank Transfer,218
219,1638.94,2020-04-20,Credit Card,219
220,1992.62,2021-03-31,Credit Card,220
221,2702.4,2022-01-30,Cash,221
222,1437.4,2021-01-09,Bank Transfer,222
