contract_number,purchase_date,expiration_date,total_cost,customer_id
1,2021-08-07,2021-11-05,607.22,184
2,2023-02-12,2023-05-13,2494.32,309
3,2020-07-22,2021-07-22,439.65,101
4,2022-10-01,2022-10-31,1916.44,259
5,2020-12-09,2021-03-09,1393.44,266
6,2020-03-20,2020-06-18,1770.7,363
7,2020-12-17,2021-12-17,1427.87,157
8,2021-07-28,2021-10-26,2385.91,243
9,2021-02-28,2021-03-30,754.95,72
10,2023-05-09,2023-06-08,2623.41,115
11,2021-04-23,2021-07-22,714.5,43
12,2022-03-23,2022-06-21,800.06,393
13,2023-03-28,2023-06-26,2087.02,385
14,2022-06-14,2022-09-12,1478.53,74
15,2022-11-29,2023-11-29,2591.71,238
16,2021-08-22,2021-09-21,1089.29,342
17,2023-09-15,2023-10-15,383.31,328
18,2020-02-11,2021-02-10,1634.03,443
19,2022-02-12,2023-02-12,876.27,469
20,2021-02-07,2021-03-09,1102.82,108
21,2023-10-25,2024-01-23,2040.92,247
22,2023-01-29,2023-04-29,1413.84,392
23,2023-09-06,2023-12-05,1210.0,122
24,2022-05-10,2023-05-10,1693.46,454
25,2021-02-16,2021-03-18,1673.68,144
26,2022-01-09,2022-02-08,2716.05,380
27,2020-10-11,2020-11-10,462.88,258
28,2020-02-18,2020-03-19,874.34,385
29,2021-09-08,2021-10-08,2875.68,156
30,2023-06-05,2024-06-04,1535.27,84
31,2022-02-16,2022-03-18,2458.74,456
32,2020-10-08,2020-11-07,2323.33,334
33,2021-10-09,2021-11-08,1989.52,263
34,2020-01-02,2020-04-01,775.44,198
35,2022-06-22,2023-06-22,383.81,199
36,2021-05-10,2021-08-08,1953.6,175
37,2020-01-29,2021-01-28,1470.37,354
38,2020-12-14,2021-03-14,377.74,232
39,2021-05-21,2021-06-20,1305.91,446
40,2023-07-20,2024-07-19,143.77,74
41,2023-10-17,2024-10-16,1157.29,101
42,2020-09-26,2020-10-26,1976.25,382
43,2020-08-20,2020-09-19,1316.58,45
44,2023-11-12,2024-11-11,1650.89,182
45,2023-02-11,2024-02-11,1349.05,356
46,2021-05-22,2021-06-21,476.9,229
47,2022-07-31,2023-07-31,1710.35,11
48,2021-06-25,2021-09-23,1034.48,24
49,2020-05-29,2020-08-27,826.16,130
50,2023-07-22,2023-08-21,541.34,132
51,2021-08-22,2021-09-21,2649.51,447
52,2023-05-17,2023-08-15,1989.6,346
53,2022-01-05,2022-04-05,1404.92,201
54,2023-07-31,2023-08-30,445.68,126
55,2021-09-22,2021-12-21,2259.47,125
56,2021-02-09,2022-02-09,1385.5,155
57,2023-09-16,2024-09-15,2457.06,322
58,2020-09-05,2020-10-05,2957.2,237
59,2022-10-09,2022-11-08,1919.4,221
60,2021-10-15,2022-10-15,2661.84,237
61,2022-05-08,2022-06-07,218.89,440
62,2021-03-01,2021-03-31,199.94,31
63,2021-06-15,2021-07-15,994.69,401
64,2022-07-20,2022-10-18,2602.42,169
65,2020-11-24,2021-11-24,2225.44,386
66,2022-09-26,2023-09-26,562.9,3
67,2023-07-11,2024-07-10,1797.67,354
68,2023-09-10,2023-12-09,2045.16,456
69,2022-10-13,2023-01-11,2949.72,347
70,2023-05-09,2023-08-07,1421.94,48
71,2021-11-30,2022-02-28,1646.59,257
72,2021-07-08,2021-08-07,2419.58,384
73,2023-11-21,2024-11-20,2256.14,246
74,2020-08-26,2020-09-25,135.08,105
75,2022-10-06,2022-11-05,2128.3,464
76,2023-04-22,2023-05-22,1760.53,482
77,2020-12-15,2021-01-14,542.85,269
78,2020-12-04,2021-01-03,1631.62,46
79,2020-10-24,2020-11-23,1001.97,229
80,2021-04-07,2021-07-06,2198.27,403
81,2021-12-15,2022-03-15,1924.46,467
82,2023-05-06,2023-06-05,852.28,116
83,2023-10-28,2023-11-27,1812.73,163
84,2023-12-17,2024-03-16,1691.0,176
85,2022-02-21,2023-02-21,398.26,500
86,2020-11-04,2021-02-02,2858.79,89
87,2021-03-21,2021-06-19,516.84,299
88,2020-04-29,2021-04-29,1278.54,102
89,2020-06-02,2020-07-02,1541.72,89
90,2023-07-06,2023-08-05,2601.82,155
91,2023-10-03,2023-11-02,2644.01,80
92,2023-11-28,2024-02-26,2303.16,53
93,2020-06-30,2021-06-30,372.12,16
94,2022-05-29,2022-08-27,1914.98,128
95,2021-10-19,2021-11-18,2529.91,127
96,2023-03-07,2023-06-05,247.11,128
97,2021-03-12,2021-04-11,2584.11,174
98,2023-04-03,2023-05-03,2269.55,216
99,2020-12-08,2021-12-08,2938.23,392
100,2022-04-12,2022-05-12,1351.4,301
101,2020-01-28,2021-01-27,254.16,107
102,2021-12-21,2022-12-21,1803.73,229
103,2021-11-07,2021-12-07,492.44,42
104,2022-03-05,2022-06-03,362.95,456
105,2022-08-07,2022-09-06,1036.05,277
106,2020-07-24,2021-07-24,120.97,185
107,2023-06-22,2024-06-21,2255.57,250
108,2023-04-19,2023-05-19,1464.34,13
109,2023-08-06,2023-11-04,753.92,1
110,2023-05-11,2023-08-09,2233.09,262
111,2021-10-25,2021-11-24,2695.03,284
112,2023-04-01,2023-06-30,2125.82,506
113,2020-07-29,2021-07-29,1970.45,504
114,2023-10-31,2024-01-29,1966.97,99
115,2023-08-16,2023-11-14,1140.31,72
116,2022-07-03,2023-07-03,180.52,218
117,2021-01-20,2022-01-20,1406.69,63
118,2022-06-09,2022-07-09,908.94,53
119,2020-10-16,2021-01-14,196.71,283
